iCAP 	 Lobe 	 Region 	 Percentile 	 mean z-score 	 voxels 
	 Frontal 	 Frontal_Sup_Medial_L 	 12.83 	 2.06 	 64 
	 Occipital 	 Lingual_R 	 11.82 	 1.91 	 65 
	 Frontal 	 Frontal_Sup_Medial_R 	 10.73 	 1.96 	 44 
	 Parietal 	 Precuneus_R 	 10.31 	 1.97 	 73 
	 Subcortical 	 Caudate_L 	 10.16 	 1.97 	 19 
	 Parietel 	 Parietal_Sup_R 	 10.05 	 1.88 	 41 

6	 Central 	 Rolandic_Oper_L 	 59.38 	 2.90 	 133 
	 Limbic 	 Insula_L 	 57.05 	 2.64 	 271 
	 Limbic 	 Insula_R 	 49.76 	 2.37 	 206 
	 Limbic 	 Amygdala_R 	 48.15 	 2.53 	 26 
	 Frontal 	 Frontal_Inf_Oper_L 	 46.72 	 2.31 	 107 
	 Frontal 	 Frontal_Inf_Tri_L 	 44.16 	 2.42 	 223 
	 Frontal 	 Frontal_Inf_Oper_R 	 43.83 	 2.85 	 142 
	 Temporal 	 Heschl_L 	 43.06 	 2.28 	 31 
	 Limbic 	 Amygdala_L 	 39.22 	 2.25 	 20 
	 Central 	 Rolandic_Oper_R 	 36.21 	 2.35 	 105 
	 Temporal 	 Temporal_Sup_L 	 35.89 	 2.34 	 220 
	 Frontal 	 Olfactory_L 	 33.82 	 2.38 	 23 
	 Subcortical 	 Caudate_R 	 33.71 	 1.96 	 59 
	 Frontal 	 Frontal_Mid_L 	 30.38 	 2.30 	 288 
	 Frontal 	 Frontal_Inf_Tri_R 	 29.13 	 2.18 	 127 
	 Limbic 	 Hippocampus_R 	 26.18 	 2.23 	 50 
	 Parietal 	 SupraMarginal_L 	 24.83 	 1.86 	 75 
	 Subcortical 	 Putamen_R 	 23.56 	 2.13 	 53 
	 Temporal 	 Heschl_R 	 22.54 	 2.48 	 16 
	 Frontal 	 Supp_Motor_Area_L 	 22.53 	 2.08 	 105 
	 Frontal 	 Precentral_L 	 22.37 	 2.27 	 153 
	 Limbic 	 Cingulum_Mid_L 	 22.03 	 2.07 	 115 
	 Subcortical 	 Pallidum_R 	 21.05 	 2.44 	 4 
	 Limbic 	 Cingulum_Ant_R 	 20.63 	 1.92 	 78 
	 Temporal 	 Temporal_Pole_Sup_R 	 19.84 	 2.22 	 49 
	 Frontal 	 Supp_Motor_Area_R 	 18.70 	 2.13 	 89 
	 Parietal 	 Paracentral_Lobule_R 	 16.54 	 1.96 	 22 
	 Limbic 	 Cingulum_Mid_R 	 14.77 	 1.98 	 82 
	 Temporal 	 Temporal_Pole_Sup_L 	 14.29 	 2.51 	 33 
	 Subcortical 	 Putamen_L 	 14.14 	 1.92 	 27 
	 Parietal 	 Paracentral_Lobule_L 	 13.71 	 1.89 	 34 
	 Frontal 	 Frontal_Mid_R 	 13.52 	 2.05 	 151 
	 Limbic 	 ParaHippocampal_L 	 13.50 	 1.94 	 32 
	 Temporal 	 Temporal_Sup_R 	 13.43 	 2.03 	 108 
	 Frontal 	 Precentral_R 	 13.29 	 2.28 	 93 
	 Limbic 	 Hippocampus_L 	 13.04 	 2.18 	 24 
	 Occipital 	 Occipital_Inf_L 	 11.72 	 1.87 	 28 
