iCAP 	 Lobe 	 Region 	 Percentile 	 mean z-score 	 voxels 
	 Parietal 	 Parietal_Inf_R 	 15.70 	 2.00 	 54 
	 Temporal 	 Heschl_R 	 15.49 	 1.78 	 11 
	 Frontal 	 Rectus_R 	 15.18 	 2.03 	 29 
	 Occipital 	 Calcarine_R 	 14.86 	 2.19 	 66 
	 Frontal 	 Frontal_Inf_Oper_R 	 14.81 	 2.24 	 48 
	 Frontal 	 Olfactory_R 	 14.29 	 2.16 	 8 
	 Temporal 	 Temporal_Mid_R 	 13.89 	 2.06 	 164 
	 Limbic 	 Insula_R 	 13.77 	 1.86 	 57 
	 Frontal 	 Frontal_Mid_R 	 13.61 	 2.00 	 152 
	 Parietal 	 Angular_R 	 13.40 	 2.27 	 56 
	 Frontal 	 Frontal_Sup_Orb_Medial_R 	 13.18 	 2.06 	 29 
	 Parietal 	 Postcentral_L 	 12.97 	 2.11 	 103 
	 Frontal 	 Precentral_R 	 12.71 	 2.03 	 89 
	 Limbic 	 ParaHippocampal_R 	 12.50 	 2.02 	 34 
	 Temporal 	 Temporal_Sup_L 	 12.07 	 1.81 	 74 
	 Central 	 Rolandic_Oper_L 	 12.05 	 1.81 	 27 
	 Temporal 	 Temporal_Mid_L 	 11.99 	 2.03 	 146 
	 Parietal 	 SupraMarginal_R 	 11.06 	 1.83 	 53 
	 Frontal 	 Frontal_Sup_Medial_R 	 10.98 	 2.08 	 45 
	 Occipital 	 Occipital_Mid_L 	 10.85 	 2.01 	 92 
	 Parietal 	 Postcentral_R 	 10.62 	 1.99 	 88 
	 Frontal 	 Frontal_Inf_Tri_R 	 10.55 	 1.88 	 46 
	 Frontal 	 Frontal_Mid_Orb_R 	 10.36 	 2.15 	 26 
	 Frontal 	 Frontal_Inf_Tri_L 	 10.30 	 1.93 	 52 
	 Limbic 	 Cingulum_Mid_R 	 10.27 	 2.03 	 57 

11	 Parietal 	 Angular_L 	 70.53 	 3.04 	 213 
	 Limbic 	 Cingulum_Post_L 	 66.30 	 2.64 	 61 
	 Parietal 	 Angular_R 	 61.00 	 3.17 	 255 
	 Limbic 	 Cingulum_Post_R 	 60.00 	 3.22 	 24 
	 Parietal 	 Precuneus_R 	 48.45 	 2.95 	 343 
	 Parietal 	 Parietal_Inf_R 	 42.15 	 3.16 	 145 
	 Parietal 	 Precuneus_L 	 34.30 	 2.60 	 283 
	 Parietal 	 Parietal_Inf_L 	 29.20 	 2.66 	 172 
	 Limbic 	 Cingulum_Mid_R 	 23.24 	 2.75 	 129 
	 Limbic 	 Cingulum_Mid_L 	 22.80 	 2.24 	 119 
	 Frontal 	 Frontal_Sup_R 	 20.08 	 2.23 	 146 
	 Occipital 	 Occipital_Mid_L 	 18.99 	 2.46 	 161 
	 Frontal 	 Frontal_Mid_R 	 18.71 	 2.26 	 209 
	 Temporal 	 Temporal_Pole_Mid_R 	 17.75 	 2.01 	 41 
	 Occipital 	 Cuneus_R 	 17.30 	 2.02 	 68 
	 Frontal 	 Frontal_Mid_L 	 17.19 	 2.15 	 163 
	 Temporal 	 Temporal_Mid_L 	 15.85 	 2.12 	 193 
	 Occipital 	 Occipital_Mid_R 	 13.98 	 2.54 	 73 
	 Temporal 	 Temporal_Mid_R 	 13.97 	 2.07 	 165 
	 Frontal 	 Frontal_Sup_Orb_R 	 13.73 	 2.03 	 32 
	 Temporal 	 Temporal_Inf_L 	 12.58 	 1.98 	 99 
	 Frontal 	 Frontal_Inf_Oper_R 	 12.35 	 1.83 	 40 
	 Occipital 	 Cuneus_L 	 12.21 	 2.07 	 47 
	 Frontal 	 Frontal_Mid_Orb_R 	 11.95 	 2.30 	 30 
	 Frontal 	 Frontal_Inf_Tri_R 	 11.93 	 1.83 	 52 
	 Parietal 	 SupraMarginal_R 	 10.65 	 1.99 	 51 

12	 Parietal 	 Parietal_Inf_R 	 69.48 	 3.14 	 239 
	 Parietal 	 SupraMarginal_R 	 46.56 	 2.61 	 223 
	 Parietal 	 Parietal_Inf_L 	 44.82 	 2.94 	 264 
	 Parietal 	 Angular_R 	 32.30 	 2.87 	 135 
	 Parietal 	 Parietal_Sup_L 	 32.18 	 2.31 	 139 
	 Occipital 	 Occipital_Mid_R 	 25.29 	 2.09 	 132 
	 Parietel 	 Parietal_Sup_R 	 25.25 	 2.16 	 103 
	 Occipital 	 Occipital_Sup_R 	 21.18 	 2.25 	 72 
	 Occipital 	 Cuneus_R 	 20.87 	 2.39 	 82 
	 Frontal 	 Supp_Motor_Area_R 	 20.38 	 2.19 	 97 
	 Frontal 	 Frontal_Mid_R 	 20.05 	 2.18 	 224 
	 Occipital 	 Occipital_Mid_L 	 18.99 	 2.38 	 161 
	 Frontal 	 Precentral_R 	 18.57 	 2.24 	 130 
	 Parietal 	 SupraMarginal_L 	 17.88 	 2.21 	 54 
	 Limbic 	 Cingulum_Mid_L 	 17.05 	 2.23 	 89 
	 Limbic 	 ParaHippocampal_R 	 16.91 	 2.29 	 46 
	 Subcortical 	 Thalamus_R 	 16.77 	 2.30 	 27 
	 Occipital 	 Occipital_Sup_L 	 16.23 	 2.52 	 49 
	 Frontal 	 Frontal_Sup_R 	 15.41 	 2.27 	 112 
	 Parietal 	 Precuneus_R 	 15.25 	 2.16 	 108 
	 Frontal 	 Precentral_L 	 14.91 	 2.28 	 102 
	 Temporal 	 Temporal_Inf_L 	 14.87 	 2.35 	 117 
	 Occipital 	 Fusiform_L 	 13.85 	 2.26 	 86 
	 Temporal 	 Temporal_Inf_R 	 13.73 	 2.28 	 131 
	 Occipital 	 Fusiform_R 	 13.42 	 2.30 	 93 
	 Occipital 	 Cuneus_L 	 13.25 	 2.23 	 51 
	 Temporal 	 Temporal_Mid_L 	 13.14 	 2.11 	 160 
	 Limbic 	 Cingulum_Mid_R 	 12.61 	 2.19 	 70 
	 Limbic 	 ParaHippocampal_L 	 11.81 	 2.20 	 28 
	 Temporal 	 Temporal_Mid_R 	 10.08 	 2.35 	 119 

13	 Subcortical 	 Caudate_R 	 68.00 	 2.49 	 119 
	 Limbic 	 Hippocampus_R 	 66.49 	 2.54 	 127 
	 Subcortical 	 Thalamus_R 	 63.98 	 2.53 	 103 
	 Subcortical 	 Putamen_R 	 52.44 	 2.48 	 118 
	 Limbic 	 Amygdala_R 	 51.85 	 2.35 	 28 
	 Limbic 	 Insula_R 	 49.03 	 2.74 	 203 
	 Subcortical 	 Thalamus_L 	 45.86 	 2.43 	 61 
	 Limbic 	 Cingulum_Ant_R 	 44.44 	 2.51 	 168 
	 Subcortical 	 Pallidum_R 	 42.11 	 2.41 	 8 
	 Temporal 	 Temporal_Inf_R 	 40.57 	 2.17 	 387 
	 Limbic 	 Hippocampus_L 	 40.22 	 2.34 	 74 
	 Limbic 	 Insula_L 	 40.00 	 2.47 	 190 
	 Limbic 	 ParaHippocampal_R 	 38.24 	 2.50 	 104 
	 Limbic 	 Amygdala_L 	 35.29 	 2.11 	 18 
	 Limbic 	 Cingulum_Ant_L 	 34.88 	 2.50 	 135 
	 Subcortical 	 Putamen_L 	 31.94 	 2.07 	 61 
	 Central 	 Rolandic_Oper_L 	 31.70 	 2.48 	 71 
	 Occipital 	 Fusiform_R 	 30.88 	 2.17 	 214 
	 Occipital 	 Fusiform_L 	 30.27 	 2.43 	 188 
	 Central 	 Rolandic_Oper_R 	 28.62 	 2.42 	 83 
	 Subcortical 	 Caudate_L 	 28.34 	 2.08 	 53 
	 Limbic 	 ParaHippocampal_L 	 24.47 	 2.49 	 58 
	 Occipital 	 Occipital_Inf_L 	 24.27 	 3.23 	 58 
	 Frontal 	 Frontal_Sup_Orb_R 	 23.18 	 2.13 	 54 
	 Occipital 	 Lingual_L 	 20.68 	 2.49 	 115 
	 Temporal 	 Temporal_Inf_L 	 19.95 	 2.11 	 157 
	 Frontal 	 Olfactory_L 	 19.12 	 1.97 	 13 
	 Limbic 	 Cingulum_Mid_L 	 17.62 	 2.11 	 92 
	 Temporal 	 Temporal_Pole_Sup_R 	 16.19 	 2.10 	 40 
	 Temporal 	 Temporal_Pole_Sup_L 	 16.02 	 2.10 	 37 
	 Temporal 	 Temporal_Sup_L 	 15.50 	 2.17 	 95 
	 Frontal 	 Olfactory_R 	 14.29 	 1.89 	 8 
	 Limbic 	 Cingulum_Mid_R 	 13.69 	 1.90 	 76 
	 Frontal 	 Rectus_L 	 13.53 	 2.07 	 28 
	 Temporal 	 Temporal_Pole_Mid_R 	 13.42 	 1.94 	 31 
	 Frontal 	 Rectus_R 	 12.57 	 2.38 	 24 
	 Parietal 	 SupraMarginal_L 	 11.92 	 1.98 	 36 
	 Frontal 	 Frontal_Inf_Oper_R 	 11.11 	 1.86 	 36 

14	 Occipital 	 Cuneus_R 	 58.52 	 2.31 	 230 
	 Occipital 	 Cuneus_L 	 56.88 	 2.32 	 219 
	 Occipital 	 Occipital_Sup_L 	 55.63 	 2.54 	 168 
	 Occipital 	 Calcarine_R 	 51.13 	 2.18 	 227 
	 Occipital 	 Lingual_R 	 46.55 	 2.21 	 256 
	 Occipital 	 Occipital_Sup_R 	 43.82 	 2.32 	 149 
	 Occipital 	 Occipital_Mid_L 	 42.45 	 2.41 	 360 
	 Occipital 	 Calcarine_L 	 42.25 	 2.23 	 237 
	 Limbic 	 Cingulum_Post_L 	 38.04 	 2.05 	 35 
	 Parietal 	 Postcentral_L 	 33.25 	 2.33 	 264 
	 Limbic 	 Cingulum_Post_R 	 32.50 	 2.20 	 13 
	 Occipital 	 Lingual_L 	 29.14 	 2.00 	 162 
	 Limbic 	 Cingulum_Mid_R 	 28.47 	 2.31 	 158 
	 Parietal 	 Postcentral_R 	 27.26 	 2.18 	 226 
	 Parietal 	 Parietal_Sup_L 	 27.08 	 2.30 	 117 
	 Parietal 	 Precuneus_R 	 26.98 	 2.09 	 191 
	 Parietal 	 Parietal_Inf_L 	 25.81 	 2.04 	 152 
	 Occipital 	 Occipital_Mid_R 	 23.75 	 2.08 	 124 
	 Parietal 	 Angular_L 	 21.85 	 2.11 	 66 
	 Limbic 	 Insula_R 	 21.01 	 1.93 	 87 
	 Parietal 	 Precuneus_L 	 20.61 	 2.05 	 170 
	 Parietal 	 Parietal_Inf_R 	 18.90 	 2.09 	 65 
	 Frontal 	 Frontal_Sup_Orb_Medial_R 	 18.18 	 2.06 	 40 
	 Subcortical 	 Putamen_L 	 17.28 	 1.85 	 33 
	 Limbic 	 Cingulum_Mid_L 	 17.05 	 2.10 	 89 
	 Parietel 	 Parietal_Sup_R 	 16.91 	 2.09 	 69 
	 Limbic 	 Insula_L 	 16.42 	 1.88 	 78 
	 Limbic 	 Cingulum_Ant_R 	 15.08 	 1.84 	 57 
	 Limbic 	 Cingulum_Ant_L 	 14.47 	 1.85 	 56 
	 Occipital 	 Fusiform_R 	 12.55 	 1.78 	 87 
	 Frontal 	 Precentral_R 	 11.86 	 2.04 	 83 
	 Frontal 	 Precentral_L 	 10.67 	 2.24 	 73 
	 Subcortical 	 Pallidum_R 	 10.53 	 1.83 	 2 
	 Temporal 	 Temporal_Pole_Sup_L 	 10.39 	 1.94 	 24 
	 Central 	 Rolandic_Oper_L 	 10.27 	 1.87 	 23 

15	 Frontal 	 Frontal_Mid_L 	 46.62 	 2.82 	 442 
	 Parietal 	 Parietal_Inf_L 	 44.14 	 2.75 	 260 
	 Frontal 	 Frontal_Inf_Oper_L 	 39.74 	 2.40 	 91 
	 Frontal 	 Precentral_L 	 36.84 	 2.91 	 252 
	 Frontal 	 Frontal_Inf_Tri_L 	 36.04 	 2.30 	 182 
	 Parietal 	 Parietal_Inf_R 	 32.85 	 2.36 	 113 
	 Subcortical 	 Caudate_L 	 32.09 	 1.92 	 60 
	 Subcortical 	 Caudate_R 	 31.43 	 2.04 	 55 
	 Parietal 	 Angular_L 	 31.13 	 2.10 	 94 
	 Frontal 	 Frontal_Inf_Oper_R 	 30.86 	 2.79 	 100 
	 Frontal 	 Olfactory_L 	 29.41 	 1.80 	 20 
	 Frontal 	 Supp_Motor_Area_L 	 25.75 	 2.10 	 120 
	 Frontal 	 Frontal_Sup_L 	 24.79 	 2.40 	 151 
	 Frontal 	 Frontal_Sup_R 	 24.21 	 2.43 	 176 
	 Frontal 	 Frontal_Mid_R 	 22.29 	 2.17 	 249 
	 Parietal 	 Postcentral_R 	 22.20 	 2.84 	 184 
	 Frontal 	 Frontal_Sup_Medial_R 	 20.49 	 2.28 	 84 
	 Parietal 	 SupraMarginal_R 	 20.46 	 2.28 	 98 
	 Frontal 	 Supp_Motor_Area_R 	 17.86 	 2.38 	 85 
	 Temporal 	 Heschl_R 	 16.90 	 2.72 	 12 
	 Frontal 	 Precentral_R 	 16.71 	 2.86 	 117 
	 Central 	 Rolandic_Oper_R 	 16.55 	 2.22 	 48 
	 Parietal 	 Postcentral_L 	 15.62 	 2.69 	 124 
	 Frontal 	 Frontal_Inf_Tri_R 	 14.91 	 1.99 	 65 
	 Frontal 	 Frontal_Sup_Medial_L 	 14.43 	 2.20 	 72 
	 Parietal 	 Parietal_Sup_L 	 13.66 	 2.01 	 59 
	 Limbic 	 Insula_R 	 13.29 	 2.30 	 55 
	 Parietal 	 SupraMarginal_L 	 13.25 	 2.23 	 40 
	 Parietal 	 Paracentral_Lobule_R 	 11.28 	 1.86 	 15 
	 Frontal 	 Olfactory_R 	 10.71 	 2.16 	 6 

16	 Subcortical 	 Caudate_L 	 78.61 	 3.55 	 147 
	 Subcortical 	 Caudate_R 	 74.29 	 3.51 	 130 
	 Limbic 	 Cingulum_Ant_R 	 63.49 	 3.62 	 240 
	 Limbic 	 Cingulum_Ant_L 	 56.59 	 3.59 	 219 
	 Frontal 	 Frontal_Sup_Medial_L 	 49.90 	 3.60 	 249 
	 Subcortical 	 Putamen_L 	 41.88 	 2.37 	 80 
	 Frontal 	 Frontal_Sup_Medial_R 	 38.54 	 3.04 	 158 
	 Subcortical 	 Pallidum_R 	 36.84 	 1.89 	 7 
	 Frontal 	 Frontal_Sup_Orb_Medial_L 	 34.46 	 2.57 	 61 
	 Frontal 	 Frontal_Sup_Orb_Medial_R 	 31.82 	 2.27 	 70 
	 Frontal 	 Frontal_Mid_L 	 31.75 	 2.93 	 301 
	 Subcortical 	 Putamen_R 	 30.67 	 2.12 	 69 
	 Frontal 	 Olfactory_L 	 27.94 	 2.28 	 19 
	 Frontal 	 Frontal_Sup_L 	 25.12 	 2.93 	 153 
	 Frontal 	 Frontal_Sup_Orb_L 	 24.69 	 2.35 	 59 
	 Frontal 	 Frontal_Mid_R 	 24.35 	 2.96 	 272 
	 Frontal 	 Frontal_Mid_Orb_L 	 23.74 	 2.34 	 47 
	 Frontal 	 Olfactory_R 	 23.21 	 2.17 	 13 
	 Frontal 	 Frontal_Mid_Orb_R 	 22.71 	 2.78 	 57 
	 Frontal 	 Rectus_L 	 21.74 	 2.14 	 45 
	 Frontal 	 Frontal_Sup_Orb_R 	 21.03 	 2.57 	 49 
	 Limbic 	 Hippocampus_L 	 18.48 	 2.07 	 34 
	 Frontal 	 Frontal_Sup_R 	 17.74 	 2.61 	 129 
	 Subcortical 	 Pallidum_L 	 17.65 	 2.18 	 6 
	 Frontal 	 Frontal_Inf_Orb_R 	 15.68 	 2.21 	 66 
	 Frontal 	 Frontal_Inf_Tri_R 	 11.70 	 1.98 	 51 
	 Temporal 	 Temporal_Inf_R 	 11.32 	 2.16 	 108 
	 Limbic 	 Insula_R 	 10.14 	 1.78 	 42 

17	 Parietal 	 Parietal_Inf_R 	 57.56 	 3.87 	 198 
	 Parietal 	 SupraMarginal_R 	 47.18 	 3.87 	 226 
	 Frontal 	 Frontal_Inf_Oper_R 	 31.79 	 4.05 	 103 
	 Parietal 	 SupraMarginal_L 	 29.14 	 3.72 	 88 
	 Parietal 	 Parietal_Inf_L 	 29.03 	 3.34 	 171 
	 Parietel 	 Parietal_Sup_R 	 24.75 	 2.64 	 101 
	 Frontal 	 Frontal_Mid_R 	 19.61 	 2.52 	 219 
	 Frontal 	 Supp_Motor_Area_R 	 19.33 	 2.63 	 92 
	 Subcortical 	 Thalamus_L 	 18.80 	 1.99 	 25 
	 Central 	 Rolandic_Oper_R 	 18.62 	 2.94 	 54 
	 Frontal 	 Precentral_R 	 18.00 	 3.13 	 126 
	 Frontal 	 Precentral_L 	 17.98 	 2.78 	 123 
	 Subcortical 	 Putamen_R 	 16.89 	 2.08 	 38 
	 Frontal 	 Frontal_Inf_Tri_R 	 16.74 	 2.55 	 73 
	 Limbic 	 ParaHippocampal_L 	 16.03 	 2.31 	 38 
	 Frontal 	 Frontal_Sup_R 	 15.68 	 2.65 	 114 
	 Parietal 	 Postcentral_L 	 13.85 	 2.50 	 110 
	 Parietal 	 Angular_R 	 13.16 	 3.03 	 55 
	 Parietal 	 Postcentral_R 	 12.18 	 2.69 	 101 
	 Temporal 	 Temporal_Pole_Mid_L 	 11.86 	 3.60 	 21 
	 Parietal 	 Paracentral_Lobule_R 	 11.28 	 2.40 	 15 
	 Frontal 	 Supp_Motor_Area_L 	 10.09 	 2.02 	 47 

18	 Subcortical 	 Caudate_R 	 32.00 	 2.15 	 56 
	 Limbic 	 ParaHippocampal_L 	 31.22 	 2.66 	 74 
	 Temporal 	 Temporal_Mid_L 	 30.79 	 3.96 	 375 
	 Limbic 	 Hippocampus_L 	 29.89 	 3.00 	 55 
	 Temporal 	 Heschl_L 	 27.78 	 2.94 	 20 
	 Frontal 	 Precentral_L 	 23.54 	 2.27 	 161 
	 Frontal 	 Frontal_Inf_Oper_L 	 22.71 	 3.20 	 52 
	 Central 	 Rolandic_Oper_R 	 22.41 	 2.17 	 65 
	 Occipital 	 Fusiform_R 	 22.08 	 2.46 	 153 
	 Subcortical 	 Caudate_L 	 20.86 	 2.59 	 39 
	 Temporal 	 Temporal_Sup_R 	 20.52 	 2.48 	 165 
	 Subcortical 	 Thalamus_R 	 18.63 	 2.81 	 30 
	 Limbic 	 Hippocampus_R 	 17.80 	 2.35 	 34 
	 Limbic 	 Cingulum_Post_R 	 17.50 	 2.48 	 7 
	 Limbic 	 ParaHippocampal_R 	 16.91 	 3.34 	 46 
	 Occipital 	 Occipital_Inf_R 	 16.90 	 2.31 	 48 
	 Frontal 	 Frontal_Sup_L 	 16.75 	 2.44 	 102 
	 Frontal 	 Frontal_Mid_Orb_L 	 16.16 	 2.32 	 32 
	 Occipital 	 Occipital_Mid_L 	 16.04 	 2.26 	 136 
	 Temporal 	 Temporal_Mid_R 	 14.90 	 2.62 	 176 
	 Frontal 	 Supp_Motor_Area_L 	 14.38 	 2.34 	 67 
	 Parietal 	 Postcentral_L 	 14.36 	 2.11 	 114 
	 Occipital 	 Occipital_Inf_L 	 13.39 	 2.12 	 32 
	 Occipital 	 Calcarine_R 	 13.06 	 2.29 	 58 
	 Frontal 	 Frontal_Inf_Tri_R 	 12.84 	 2.19 	 56 
	 Occipital 	 Lingual_R 	 12.73 	 2.32 	 70 
	 Frontal 	 Frontal_Mid_L 	 12.66 	 2.17 	 120 
	 Occipital 	 Fusiform_L 	 12.56 	 2.23 	 78 
	 Frontal 	 Frontal_Sup_Orb_L 	 12.55 	 2.13 	 30 
	 Frontal 	 Precentral_R 	 12.00 	 2.35 	 84 
	 Temporal 	 Temporal_Inf_L 	 11.69 	 2.31 	 92 
	 Frontal 	 Frontal_Inf_Oper_R 	 11.42 	 2.13 	 37 
	 Parietal 	 Postcentral_R 	 10.98 	 2.13 	 91 
	 Parietal 	 Parietal_Inf_R 	 10.17 	 2.25 	 35 

19	 Parietal 	 Angular_R 	 69.86 	 4.36 	 292 
	 Limbic 	 Cingulum_Post_R 	 57.50 	 2.83 	 23 
	 Parietal 	 Parietal_Inf_L 	 42.11 	 3.07 	 248 
	 Limbic 	 Cingulum_Post_L 	 38.04 	 2.86 	 35 
	 Parietal 	 Parietal_Inf_R 	 37.50 	 3.87 	 129 
	 Limbic 	 Cingulum_Ant_L 	 31.52 	 2.60 	 122 
	 Parietal 	 Angular_L 	 25.83 	 2.46 	 78 
	 Limbic 	 Insula_R 	 24.40 	 2.38 	 101 
	 Subcortical 	 Thalamus_L 	 20.30 	 1.90 	 27 
	 Frontal 	 Frontal_Sup_Medial_R 	 19.76 	 2.48 	 81 
	 Limbic 	 Cingulum_Mid_L 	 18.39 	 3.04 	 96 
	 Parietal 	 Precuneus_R 	 18.36 	 3.04 	 130 
	 Subcortical 	 Caudate_L 	 18.18 	 2.40 	 34 
	 Limbic 	 Cingulum_Mid_R 	 18.02 	 2.87 	 100 
	 Limbic 	 Cingulum_Ant_R 	 17.46 	 2.08 	 66 
	 Frontal 	 Frontal_Sup_R 	 16.92 	 2.41 	 123 
	 Parietal 	 Precuneus_L 	 16.85 	 2.82 	 139 
	 Limbic 	 Amygdala_R 	 16.67 	 2.09 	 9 
	 Frontal 	 Frontal_Sup_Medial_L 	 15.23 	 2.29 	 76 
	 Subcortical 	 Putamen_R 	 15.11 	 2.67 	 34 
	 Frontal 	 Frontal_Mid_L 	 14.03 	 2.27 	 133 
	 Frontal 	 Frontal_Inf_Oper_L 	 13.97 	 2.71 	 32 
	 Frontal 	 Frontal_Sup_L 	 13.46 	 2.48 	 82 
	 Frontal 	 Frontal_Sup_Orb_Medial_L 	 12.43 	 2.27 	 22 
	 Frontal 	 Frontal_Inf_Tri_L 	 12.28 	 2.19 	 62 
	 Occipital 	 Occipital_Mid_R 	 12.26 	 3.80 	 64 
	 Temporal 	 Temporal_Mid_R 	 11.77 	 3.12 	 139 
	 Subcortical 	 Thalamus_R 	 11.18 	 2.78 	 18 
	 Temporal 	 Temporal_Pole_Mid_L 	 10.73 	 2.27 	 19 
	 Frontal 	 Frontal_Mid_R 	 10.38 	 2.38 	 116 

