   0.0000000e+00  -1.0824674e-14   0.0000000e+00  -5.6597994e-73 -2.1289799e-109   3.2203647e-37
  -1.0089213e-01  -6.8239498e-01  -1.1457650e+00   5.9070958e-03   4.3819310e-03   1.2867421e-03
  -1.1442893e-01  -7.1667945e-01  -1.2293640e+00   5.7317517e-03   4.6340975e-03   1.8014529e-03
  -1.1989976e-01  -8.9011668e-01  -1.4564198e+00   7.7441560e-03   6.2288415e-03   2.3245405e-03
  -1.4849015e-01  -9.7503244e-01  -1.6275492e+00   8.3810236e-03   5.2581288e-03   1.5439985e-03
  -2.2520762e-01  -7.9620677e-01  -1.4761792e+00   1.0722585e-02   5.6901881e-03   1.5338513e-03
  -1.5590801e-01  -7.9655534e-01  -1.1718684e+00   4.5713071e-03   4.1227273e-03   2.2038379e-03
  -1.8008545e-01  -8.0681130e-01  -1.3289612e+00   4.1588960e-03   4.3683469e-03   1.2775564e-03
  -1.9328134e-01  -9.0030802e-01  -1.4634256e+00   7.3478449e-03   4.2374442e-03   1.3724503e-03
  -1.8435405e-01  -8.6159702e-01  -1.4511104e+00   7.1906147e-03   3.9967720e-03   1.3408880e-03
  -1.8759883e-01  -9.2008039e-01  -1.4690017e+00   7.3291595e-03   3.7578031e-03   8.3447554e-04
  -1.6419658e-01  -9.7779219e-01  -1.5666043e+00   7.6999807e-03   4.3410683e-03   1.4428929e-03
  -4.8174416e-02  -1.1331879e+00  -1.7465462e+00   9.2232394e-03   7.2322491e-03   4.5946774e-03
  -3.1395495e-02  -1.0818399e+00  -1.7179653e+00   7.5767563e-03   7.7891752e-03   5.3481831e-03
  -1.5001847e-01  -1.1250724e+00  -1.7762863e+00   7.7778127e-03   6.0407741e-03   3.4618614e-03
  -2.8339501e-01  -1.0512912e+00  -1.8369925e+00   9.5662457e-03   5.9562977e-03   5.0391139e-04
  -2.0452064e-01  -1.0293625e+00  -1.7054211e+00   6.3906652e-03   5.0467800e-03   3.8159490e-04
  -1.8520468e-01  -1.0210213e+00  -1.8854374e+00   7.9616214e-03   5.4223843e-03   7.1473784e-04
  -1.1746110e-01  -1.1630405e+00  -2.0069805e+00   9.4093628e-03   7.6828052e-03   3.0309650e-03
  -1.5065685e-01  -1.2149323e+00  -2.0424368e+00   1.1050823e-02   7.1178030e-03   2.4532102e-03
  -1.3205568e-01  -9.0385031e-01  -1.5753355e+00   1.0033434e-02   5.8907184e-03   1.8561560e-03
  -5.5850563e-02  -7.5074117e-01  -1.1929512e+00   6.2738767e-03   2.0774751e-03   2.5382758e-03
  -6.8292698e-02  -7.8706658e-01  -1.3397079e+00   5.3225906e-03   4.4170607e-03   3.4364325e-03
  -3.7685881e-02  -9.3708231e-01  -1.4401625e+00   6.9581517e-03   4.1258712e-03   3.0017727e-03
  -4.2673555e-02  -9.1305767e-01  -1.4545538e+00   6.7986327e-03   4.4112774e-03   2.8038843e-03
  -1.6263692e-02  -9.2054087e-01  -1.4631409e+00   6.6707809e-03   5.1688857e-03   3.7632478e-03
   7.6120392e-02  -1.0531723e+00  -1.5709244e+00   6.5944357e-03   8.5265344e-03   7.6611524e-03
   6.3447285e-02  -1.0629199e+00  -1.6279403e+00   6.9806109e-03   9.4736829e-03   8.7172693e-03
  -9.9727295e-03  -1.0265961e+00  -1.6490410e+00   6.9450716e-03   8.0436897e-03   7.2759430e-03
  -2.8249286e-02  -1.1536094e+00  -1.8198078e+00   8.5097461e-03   8.6096962e-03   7.6459847e-03
  -2.2050295e-02  -1.0508700e+00  -1.7231529e+00   6.2947546e-03   8.4432150e-03   7.4317401e-03
  -1.3018831e-01  -1.1556498e+00  -1.8131383e+00   7.4822951e-03   7.2962412e-03   5.8159698e-03
  -2.5791806e-01  -4.9146108e-01  -9.9492834e-01   3.6078431e-03   3.4165073e-03   9.8241254e-04
  -2.0830254e-01  -4.7449806e-01  -7.2114058e-01  -2.7172985e-03   3.1506396e-03   9.6761718e-04
  -1.8424888e-01  -5.7635587e-01  -8.7557752e-01  -1.1554145e-03   3.8654521e-03   8.3024113e-04
  -1.6054721e-01  -7.3022426e-01  -1.0490115e+00   1.7932497e-04   4.2703257e-03   1.9454703e-03
  -9.3379745e-02  -8.9867827e-01  -1.2395017e+00   2.3589284e-03   7.3292981e-03   4.5671793e-03
  -1.8974235e-02  -7.9500369e-01  -1.2303165e+00   2.6467917e-03   8.3265743e-03   4.7073482e-03
  -9.3061541e-02  -7.8811450e-01  -1.2933794e+00   6.7420239e-03   5.1416990e-03   8.7259148e-04
  -1.1709224e-01  -1.7559321e-01  -6.8754805e-02  -8.0097765e-03   2.8970436e-03   1.6293154e-03
